,mRMR,svm_rfe,reliefF,df
0,0.5209,0.2939,0.4200,0.7478
1,0.6148,0.2522,0.3768,0.4561
2,0.5727,0.2403,0.3907,0.3986
3,0.5088,0.2834,0.4625,0.3643
4,0.5426,0.2636,0.4420,0.4145
5,0.5635,0.2765,0.4888,0.4535
6,0.5973,0.2785,0.4798,0.4731
7,0.6271,0.2777,0.4803,0.4920
8,0.6496,0.2617,0.4864,0.5399
9,0.6526,0.2593,0.4885,0.5947
